Дата,Возраст,ВУЗ,Пол,Курс,Опыт C++,T1_Материалы,T2_Понятность,T3_Преподаватель,T4_Интерес,T5_Записи,T6_Подготовка,P1_Стандарты,P2_Полезность,P3_Сложность,P4_ИнтересЗадачи,P5_Настройка,P6_Git,P7_CICD,P8_ОбратнаяСвязь,P9_Скорость,D1_Формат,D2_Стресс,D3_Объективность,Проблемы,Прогресс,Мотиваторы,Предпочтения
03.04.2026 11:36:52,21,ИТМО,Мужской,3 курс (Бакалавриат / Специалитет),"Да, изучал(а) ранее",10,7,10,3,0,4,Актуальные (C++20 / C++23),2,3,3,9,"Нет, сдавали архивами / на флешке / в письме",Полностью вручную (преподаватель запускает у себя),6,10,Личная защита у преподавателя (демонстрация + вопросы),0,10,Преподаватель скучно рассказывал; При подготовке к экзаменам приходилось искать информацию во всех лекциях (видео и PDF); Непонимание своего прогресса и пробелов в знаниях,3,"Более интересные, практические задачи; Мгновенная автоматическая проверка кода; Чёткая структура материалов (всё в одном месте)","Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка); YouTube"
03.04.2026 11:37:46,26,ИТМО,Мужской,2 курс (Магистратура),"Да, изучаю сейчас",4,2,6,5,0,3,Современные (C++14 / C++17),5,6,6,6,"Да, обязательно для всех работ",Смешанно (автотесты + ручная проверка),5,6,Личная защита у преподавателя (демонстрация + вопросы),4,6,"Преподаватель скучно рассказывал; Не было записей лекций (видео); Не было структурированных материалов; Из лекций было непонятно, что записывать; При подготовке к экзаменам приходилось искать информацию во всех лекциях (видео и PDF); Непонимание своего прогресса и пробелов в знаниях",5,"Геймификация (баллы, уровни, рейтинги); Более интересные, практические задачи; Возможность видеть свой прогресс в реальном времени (диаграммы, прогресс-бары); Соревновательный элемент (лидерборды); Мгновенная автоматическая проверка кода; Интерактивные видео и анимации; Чёткая структура материалов (всё в одном месте)","Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка); Гибридный формат (лекции и защиты в ВУЗе + практика на платформе)"
03.04.2026 12:01:05,22,ИТМО,Мужской,1 курс (Магистратура),"Да, изучал(а) ранее",10,10,10,10,10,10,Современные (C++14 / C++17),5,5,7,5,"Да, обязательно для всех работ","Полностью автоматически (код-раннеры, тесты при пуше)",2,10,Смешанный формат,0,10,"Сложности с настройкой окружения (IDE, компиляторы); Другое",8,"Более интересные, практические задачи; Соревновательный элемент (лидерборды); Мгновенная автоматическая проверка кода",Самообразование по документации и книгам; YouTube
03.04.2026 12:30:21,20,ИГЭУ,Мужской,3 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",8,9,4,6,0,8,Устаревшие (C++98 / C++03 или чистый C),4,6,6,10,"Нет, сдавали архивами / на флешке / в письме",Полностью вручную (преподаватель запускает у себя),4,6,Личная защита у преподавателя (демонстрация + вопросы),4,6,Преподаватель сам плохо разбирается / не может объяснить; Не было записей лекций (видео); Устаревшие стандарты языка; Непонимание своего прогресса и пробелов в знаниях,4,"Геймификация (баллы, уровни, рейтинги); Более интересные, практические задачи; Возможность видеть свой прогресс в реальном времени (диаграммы, прогресс-бары); Соревновательный элемент (лидерборды); Мгновенная автоматическая проверка кода; Интерактивные видео и анимации; Чёткая структура материалов (всё в одном месте)","Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка); Гибридный формат (лекции и защиты в ВУЗе + практика на платформе); YouTube"
03.04.2026 12:37:43,20,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучал(а) ранее",0,3,6,3,0,0,Устаревшие (C++98 / C++03 или чистый C),3,6,0,0,"Да, обязательно для всех работ","Полностью автоматически (код-раннеры, тесты при пуше)",10,4,Личная защита у преподавателя (демонстрация + вопросы),8,2,"Преподаватель скучно рассказывал; Не было записей лекций (видео); Не было структурированных материалов; Из лекций было непонятно, что записывать; При подготовке к экзаменам приходилось искать информацию во всех лекциях (видео и PDF); Сложности с настройкой окружения (IDE, компиляторы); Долгое ожидание проверки работ; Непонимание своего прогресса и пробелов в знаниях",5,Мгновенная автоматическая проверка кода; Интерактивные видео и анимации; Чёткая структура материалов (всё в одном месте); Гибкий график обучения,"Онлайн-курс (видеолекции + домашние задания); Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка); Гибридный формат (лекции и защиты в ВУЗе + практика на платформе); Самообразование по документации и книгам"
03.04.2026 12:37:45,22,ИТМО,Мужской,1 курс (Магистратура),"Да, изучал(а) ранее",7,6,7,6,8,7,Переходные (C++11),7,4,5,6,"Нет, сдавали архивами / на флешке / в письме",Полностью вручную (преподаватель запускает у себя),6,6,Личная защита у преподавателя (демонстрация + вопросы),6,10,Преподаватель скучно рассказывал; При подготовке к экзаменам приходилось искать информацию во всех лекциях (видео и PDF); Непонимание своего прогресса и пробелов в знаниях,5,"Возможность видеть свой прогресс в реальном времени (диаграммы, прогресс-бары); Мгновенная автоматическая проверка кода; Чёткая структура материалов (всё в одном месте)","Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка); Гибридный формат (лекции и защиты в ВУЗе + практика на платформе)"
03.04.2026 12:46:26,20,ИТМО,Мужской,2 курс (Бакалавриат / Специалитет),"Да, изучал(а) ранее",5,0,0,0,0,0,Актуальные (C++20 / C++23),10,5,8,0,"Да, обязательно для всех работ",Смешанно (автотесты + ручная проверка),0,10,Личная защита у преподавателя (демонстрация + вопросы),10,0,"Преподаватель скучно рассказывал; Преподаватель сам плохо разбирается / не может объяснить; Не было записей лекций (видео); Из лекций было непонятно, что записывать; При подготовке к экзаменам приходилось искать информацию во всех лекциях (видео и PDF); Сложности с настройкой окружения (IDE, компиляторы); Отсутствие практики / мало задач; Непонимание своего прогресса и пробелов в знаниях; Другое",0,"Более интересные, практические задачи; Возможность видеть свой прогресс в реальном времени (диаграммы, прогресс-бары); Чёткая структура материалов (всё в одном месте)","Онлайн-курс (видеолекции + домашние задания); Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка); Гибридный формат (лекции и защиты в ВУЗе + практика на платформе); YouTube"
03.04.2026 13:25:10,20,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",10,10,7,10,10,10,Актуальные (C++20 / C++23),5,5,5,5,"Да, обязательно для всех работ","Полностью автоматически (код-раннеры, тесты при пуше)",10,9,Защиты не было (только сдача кода),0,10,При подготовке к экзаменам приходилось искать информацию во всех лекциях (видео и PDF),5,"Ничего, меня всё устраивает","Онлайн-курс (видеолекции + домашние задания); Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка)"
03.04.2026 13:43:35,18,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",8,9,9,6,9,9,Актуальные (C++20 / C++23),9,7,9,3,"Да, обязательно для всех работ","Полностью автоматически (код-раннеры, тесты при пуше)",9,6,Смешанный формат,8,8,Преподаватель скучно рассказывал,8,"Геймификация (баллы, уровни, рейтинги); Более интересные, практические задачи; Возможность видеть свой прогресс в реальном времени (диаграммы, прогресс-бары); Соревновательный элемент (лидерборды); Чёткая структура материалов (всё в одном месте); Гибкий график обучения",Онлайн-курс (видеолекции + домашние задания); Самообразование по документации и книгам; YouTube
03.04.2026 15:40:26,22,ЛЭТИ (СПбГЭТУ),Мужской,1 курс (Магистратура),"Да, изучаю сейчас",5,5,10,5,5,10,Устаревшие (C++98 / C++03 или чистый C),0,5,0,8,"Нет, сдавали архивами / на флешке / в письме",Формально (проверяли только наличие кода),10,8,Личная защита у преподавателя (демонстрация + вопросы),0,7,Устаревшие стандарты языка,7,"Более интересные, практические задачи; Соревновательный элемент (лидерборды); Мгновенная автоматическая проверка кода; Гибкий график обучения","Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка)"
03.04.2026 16:59:43,18,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",5,4,6,4,10,5,Не знаю / Стандарты не упоминались,10,10,8,10,"Да, обязательно для всех работ",Смешанно (автотесты + ручная проверка),8,10,Личная защита у преподавателя (демонстрация + вопросы),0,10,"Из лекций было непонятно, что записывать; При подготовке к экзаменам приходилось искать информацию во всех лекциях (видео и PDF); Страх ошибки / синдром самозванца; Непонимание своего прогресса и пробелов в знаниях",4,"Геймификация (баллы, уровни, рейтинги); Более интересные, практические задачи; Возможность видеть свой прогресс в реальном времени (диаграммы, прогресс-бары); Соревновательный элемент (лидерборды)",Гибридный формат (лекции и защиты в ВУЗе + практика на платформе)
03.04.2026 18:51:48,20,ИТМО,Мужской,3 курс (Бакалавриат / Специалитет),"Да, изучал(а) ранее",7,6,8,4,10,6,Современные (C++14 / C++17),5,3,5,7,"Да, обязательно для всех работ","Полностью автоматически (код-раннеры, тесты при пуше)",7,5,Смешанный формат,3,10,Преподаватель скучно рассказывал; При подготовке к экзаменам приходилось искать информацию во всех лекциях (видео и PDF); Непонимание своего прогресса и пробелов в знаниях,7,"Геймификация (баллы, уровни, рейтинги); Более интересные, практические задачи; Возможность видеть свой прогресс в реальном времени (диаграммы, прогресс-бары); Соревновательный элемент (лидерборды); Мгновенная автоматическая проверка кода; Интерактивные видео и анимации; Чёткая структура материалов (всё в одном месте); Гибкий график обучения","Онлайн-курс (видеолекции + домашние задания); Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка); Гибридный формат (лекции и защиты в ВУЗе + практика на платформе)"
03.04.2026 23:59:47,20,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",10,7,8,4,5,5,Актуальные (C++20 / C++23),3,8,0,5,"Да, обязательно для всех работ","Полностью автоматически (код-раннеры, тесты при пуше)",10,3,Личная защита у преподавателя (демонстрация + вопросы),6,7,При подготовке к экзаменам приходилось искать информацию во всех лекциях (видео и PDF); Долгое ожидание проверки работ; Непонимание своего прогресса и пробелов в знаниях,5,"Более интересные, практические задачи; Возможность видеть свой прогресс в реальном времени (диаграммы, прогресс-бары); Мгновенная автоматическая проверка кода; Чёткая структура материалов (всё в одном месте)",Онлайн-курс (видеолекции + домашние задания); Гибридный формат (лекции и защиты в ВУЗе + практика на платформе); YouTube
04.04.2026 0:01:46,18,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",10,9,8,8,0,7,Актуальные (C++20 / C++23),8,5,9,8,"Да, обязательно для всех работ","Полностью автоматически (код-раннеры, тесты при пуше)",5,8,Личная защита у преподавателя (демонстрация + вопросы),8,7,Не было записей лекций (видео),8,"Геймификация (баллы, уровни, рейтинги); Более интересные, практические задачи; Возможность видеть свой прогресс в реальном времени (диаграммы, прогресс-бары); Соревновательный элемент (лидерборды); Мгновенная автоматическая проверка кода; Интерактивные видео и анимации; Чёткая структура материалов (всё в одном месте); Гибкий график обучения","Традиционный курс в ВУЗе (лекции + защита лабораторных); Онлайн-курс (видеолекции + домашние задания); Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка); Гибридный формат (лекции и защиты в ВУЗе + практика на платформе)"
04.04.2026 0:49:03,18,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",9,7,6,4,9,5,Современные (C++14 / C++17),5,3,3,2,"Да, обязательно для всех работ",Смешанно (автотесты + ручная проверка),8,1,Защиты не было (только сдача кода),5,5,"Преподаватель скучно рассказывал; Сложности с настройкой окружения (IDE, компиляторы); Долгое ожидание проверки работ; Непонимание своего прогресса и пробелов в знаниях",2,"Геймификация (баллы, уровни, рейтинги); Более интересные, практические задачи","Онлайн-курс (видеолекции + домашние задания); Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка); YouTube"
04.04.2026 2:48:34,18,ИТМО,Женский,2 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",10,3,5,1,10,5,Актуальные (C++20 / C++23),7,8,0,1,"Да, обязательно для всех работ",Смешанно (автотесты + ручная проверка),8,4,Личная защита у преподавателя (демонстрация + вопросы),10,10,"Сложности с настройкой окружения (IDE, компиляторы); Страх ошибки / синдром самозванца; Непонимание своего прогресса и пробелов в знаниях",6,"Геймификация (баллы, уровни, рейтинги); Соревновательный элемент (лидерборды); Гибкий график обучения","Онлайн-курс (видеолекции + домашние задания); Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка)"
04.04.2026 12:57:46,19,ЛЭТИ (СПбГЭТУ),Мужской,2 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",3,7,10,7,0,2,Не знаю / Стандарты не упоминались,4,5,6,5,"Да, но формально (просто заливали код)",Полностью вручную (преподаватель запускает у себя),2,8,Личная защита у преподавателя (демонстрация + вопросы),0,8,"Не было записей лекций (видео); Не было структурированных материалов; Сложности с настройкой окружения (IDE, компиляторы); Отсутствие практики / мало задач",0,"Геймификация (баллы, уровни, рейтинги); Более интересные, практические задачи; Возможность видеть свой прогресс в реальном времени (диаграммы, прогресс-бары); Соревновательный элемент (лидерборды); Мгновенная автоматическая проверка кода; Чёткая структура материалов (всё в одном месте)","Онлайн-курс (видеолекции + домашние задания); Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка)"
04.04.2026 14:53:25,19,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",4,2,4,2,0,2,Современные (C++14 / C++17),3,8,1,5,"Да, обязательно для всех работ",Смешанно (автотесты + ручная проверка),8,5,Смешанный формат,9,2,Преподаватель скучно рассказывал; Не было записей лекций (видео); Долгое ожидание проверки работ; Страх ошибки / синдром самозванца,5,"Геймификация (баллы, уровни, рейтинги); Более интересные, практические задачи; Мгновенная автоматическая проверка кода; Интерактивные видео и анимации; Гибкий график обучения","Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка); Гибридный формат (лекции и защиты в ВУЗе + практика на платформе); Самообразование по документации и книгам"
05.04.2026 1:48:40,18,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",9,5,5,5,9,7,Актуальные (C++20 / C++23),5,8,8,9,"Да, обязательно для всех работ",Смешанно (автотесты + ручная проверка),10,6,Защиты не было (только сдача кода),5,7,"Не было структурированных материалов; Из лекций было непонятно, что записывать",0,Чёткая структура материалов (всё в одном месте),Традиционный курс в ВУЗе (лекции + защита лабораторных)
05.04.2026 14:03:16,19,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",10,10,8,9,6,8,Современные (C++14 / C++17),7,5,6,8,"Да, но формально (просто заливали код)",Смешанно (автотесты + ручная проверка),8,7,Смешанный формат,7,8,При подготовке к экзаменам приходилось искать информацию во всех лекциях (видео и PDF),7,"Более интересные, практические задачи; Возможность видеть свой прогресс в реальном времени (диаграммы, прогресс-бары); Мгновенная автоматическая проверка кода; Гибкий график обучения","Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка); Гибридный формат (лекции и защиты в ВУЗе + практика на платформе); YouTube"
05.04.2026 20:53:40,19,ЛЭТИ (СПбГЭТУ),Мужской,1 курс (Бакалавриат / Специалитет),"Нет, не изучал(а) (отвечайте про любой другой язык программирования)",6,3,5,7,10,4,Не знаю / Стандарты не упоминались,6,8,4,8,"Да, обязательно для всех работ","Полностью автоматически (код-раннеры, тесты при пуше)",4,10,Смешанный формат,10,10,Не было структурированных материалов; Непонимание своего прогресса и пробелов в знаниях,3,Чёткая структура материалов (всё в одном месте); Гибкий график обучения,Гибридный формат (лекции и защиты в ВУЗе + практика на платформе)
06.04.2026 2:50:35,18,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",3,3,7,0,0,5,Современные (C++14 / C++17),10,8,8,10,"Да, обязательно для всех работ",Смешанно (автотесты + ручная проверка),5,10,Личная защита у преподавателя (демонстрация + вопросы),0,10,"Преподаватель скучно рассказывал; Не было записей лекций (видео); Не было структурированных материалов; Из лекций было непонятно, что записывать; При подготовке к экзаменам приходилось искать информацию во всех лекциях (видео и PDF); Непонимание своего прогресса и пробелов в знаниях",8,"Геймификация (баллы, уровни, рейтинги); Мгновенная автоматическая проверка кода; Интерактивные видео и анимации; Чёткая структура материалов (всё в одном месте); Гибкий график обучения","Традиционный курс в ВУЗе (лекции + защита лабораторных); Онлайн-курс (видеолекции + домашние задания); Интерактивная онлайн-платформа с геймификацией (квесты, тесты, мгновенная проверка); Самообразование по документации и книгам; YouTube"