Дата,Возраст,ВУЗ,Пол,Курс,Опыт C++,Cmp1_Структура(ВУЗ;Онлайн;Сайт),Cmp2_Пробелы(ВУЗ;Онлайн;Сайт),Cmp3_Повторение(ВУЗ;Онлайн;Сайт),Cmp4_Фидбек(ВУЗ;Онлайн;Сайт),T1_Покрытие,T2_ХорошоПлохо,T3_Визуализации,T4_Внимательность,T5_НеХватает,T6_ФорматПодачи,I1_Разнообразие,I2_Компилятор,I3_БалансСложности,I4_ТипыЗаданий,G1_ОпытМонетки,G2_Стрики,G3_Статистика,G4_Приоритет,G5_Пропуск,U1_Дизайн,U2_Анимации,U3_Профиль,U4_Дискомфорт,R1_Удовлетворённость,R2_Эффективность,R3_Понравилось,R4_Улучшить
04.04.2026 17:28:51,26,ИТМО,Мужской,2 курс (Магистратура),"Да, изучаю сейчас",4; 7; 10,4; 6; 10,0; 0; 10,7; 7; 9,8,10,10,"Читаю всё подряд: текст, примеры кода, комментарии, диаграммы",Глубже разобрать edge-case'ы и подводные камни; Связь теории с экзаменационными вопросами ВУЗа; Ссылки на дополнительные источники / официальную документацию; Более сложные тесты (варианты с собеседований),"Визуально-игровой (персонажи, сюжет, анимации)",10,10,"Оптимально (есть над чем подумать, но нет фрустрации)",Выбор одного ответа; Выбор нескольких ответов; «Что выведет код?»; Восстановление кода (вставка пропусков); Расстановка фрагментов (drag-and-drop); Соответствие; Распределение по категориям; Ввод ответа вручную,9,10,10,Расширить систему достижений и наград,"Нет, лучше проходить последовательно",10,10,8,"Невозможность открыть произвольную главу без прохождения предыдущих; Недооформленные элементы профиля (иконки, оглавление); Ничего не отвлекает, всё продумано",9,Идеально — значительно лучше ВУЗа и курсов,"1. Полная статистика всего
2. Дизайн сайта","1. Ошибки в тестах
2. Нормальное открытие на мобильных устройствах."
04.04.2026 17:41:20,18,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",8; 6; 8,8; 7; 8,8; 7; 9,7; 7; 9,8,9,10,Смотрю только примеры кода и комментарии к ним,Глубже разобрать edge-case'ы и подводные камни; Больше примеров «хорошо/плохо» с разбором; Связь теории с экзаменационными вопросами ВУЗа; Ссылки на дополнительные источники / официальную документацию; Более сложные тесты (варианты с собеседований),"Лаконичный и структурированный (как на сайте, без воды)",8,7,"Оптимально (есть над чем подумать, но нет фрустрации)",Выбор нескольких ответов; «Что выведет код?»; Восстановление кода (вставка пропусков),9,10,9,"Улучшить магазин (покупка стандартов, контента для чтения)","Да, но только частично (открыть 50% контента)",10,9,10,"Ничего не отвлекает, всё продумано",9,Средне — примерно одинаково,"Много полезной информации, всё устроено так, чтобы запомнить побольше ",Всё хорошо
04.04.2026 19:12:34,18,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",6; 0; 9,9; 0; 7,3; 0; 9,9; 0; 10,10,10,0,"Читаю всё подряд: текст, примеры кода, комментарии, диаграммы",Более сложные тесты (варианты с собеседований),"Лаконичный и структурированный (как на сайте, без воды)",10,9,"Оптимально (есть над чем подумать, но нет фрустрации)",Ввод ответа вручную,0,9,10,Добавить персональные челленджи и цели на неделю,"Да, обязательно",10,10,10,"Ничего не отвлекает, всё продумано",9,Круто — заметно лучше,Визуальная составляющая и понятно преподносимый материал,Мне все понравилось
04.04.2026 19:14:01,19,ИТМО,Мужской,2 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",6; 7; 8,4; 8; 9,6; 6; 9,5; 9; 10,8,10,7,Смотрю только примеры кода и комментарии к ним,Больше примеров «хорошо/плохо» с разбором; Более сложные тесты (варианты с собеседований),"Лаконичный и структурированный (как на сайте, без воды)",7,9,"Оптимально (есть над чем подумать, но нет фрустрации)",Выбор нескольких ответов; «Что выведет код?»; Соответствие,6,7,5,Расширить систему достижений и наград,"Да, но только частично (открыть 50% контента)",10,9,7,"Ничего не отвлекает, всё продумано",9,Круто — заметно лучше,Визуальная составляющая,Чуть больше усложненных кейсов
04.04.2026 19:23:44,20,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",7; 5; 6,5; 2; 8,5; 3; 7,6; 4; 10,7,6,9,"Читаю всё подряд: текст, примеры кода, комментарии, диаграммы",Глубже разобрать edge-case'ы и подводные камни; Больше примеров «хорошо/плохо» с разбором; Более сложные тесты (варианты с собеседований),"Лаконичный и структурированный (как на сайте, без воды)",8,10,"Оптимально (есть над чем подумать, но нет фрустрации)",Выбор нескольких ответов; «Что выведет код?»,7,9,10,"Улучшить магазин (покупка стандартов, контента для чтения)","Да, обязательно",10,10,9,Невозможность открыть произвольную главу без прохождения предыдущих,10,Средне — примерно одинаково,"Приятный сайт, с отличным визуалом. Тесты в конце каждого параграфа это очень удобно и помогает закреплять материал. Очень нравится разнообразие контента: встроенный компилятор, выделенные блоки, которые подсказывают, что тут довольно важная информация. Также очень удобно смотреть на свою активность, понимать, как всё продвигается. ","В первую очередь я бы посоветовал, добавить тесты между главами, чтобы человек, который имеет какую то базу знаний, мог пройти какой то масштабный итоговый тест, который позволит открыть новую главу. Также я бы добавил больше информации к каждому параграфу, либо же различные ссылки, которые будут вести к какому-нибудь cppreference(не супер крутая конечно идея, но если не хочется прям сильно забивать параграфы, то почему бы и нет)."
04.04.2026 19:41:14,21,ИТМО,Мужской,3 курс (Бакалавриат / Специалитет),"Да, изучал(а) ранее",6; 6; 9,6; 7; 8,3; 7; 9,6; 8; 8,7,10,10,"Внимательно читаю текст и примеры, диаграммы просматриваю бегло",Глубже разобрать edge-case'ы и подводные камни; Больше примеров «хорошо/плохо» с разбором; Связь теории с экзаменационными вопросами ВУЗа; Более сложные тесты (варианты с собеседований),"Практико-ориентированный (минимум теории, сразу код)",10,10,"Оптимально (есть над чем подумать, но нет фрустрации)",Восстановление кода (вставка пропусков); Расстановка фрагментов (drag-and-drop); Соответствие,7,8,7,"Улучшить магазин (покупка стандартов, контента для чтения)","Да, обязательно",7,8,9,"Ничего не отвлекает, всё продумано",10,Круто — заметно лучше,Множество вопросов направленных на запоминание теоретической части. Со временем должно отложиться в памяти и без зубрёжки,"Стоит расширить пул вопросов, добавить все запланированные тесты"
04.04.2026 19:52:11,19,ЛЭТИ (СПбГЭТУ),Мужской,1 курс (Бакалавриат / Специалитет),"Нет, не изучал(а)",4; 7; 8,9; 9; 9,4; 2; 8,5; 5; 7,7,6,10,"Читаю всё подряд: текст, примеры кода, комментарии, диаграммы",Глубже разобрать edge-case'ы и подводные камни; Ссылки на дополнительные источники / официальную документацию,"Лаконичный и структурированный (как на сайте, без воды)",7,10,"Нужно больше заданий на понимание, а не на запоминание",Восстановление кода (вставка пропусков); Расстановка фрагментов (drag-and-drop); Распределение по категориям,9,10,7,"Усилить соревновательный элемент (лидерборды, сезонные рейтинги)","Нет, лучше проходить последовательно",10,9,9,"Ничего не отвлекает, всё продумано",9,Круто — заметно лучше,"Хорошо подобранная теория, интересные форматы заданий","Соревновательный элемент, больше заданий ""на подумать"""
04.04.2026 20:02:51,18,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",6; 0; 8,6; 0; 8,0; 0; 0,0; 0; 8,7,10,10,"Читаю всё подряд: текст, примеры кода, комментарии, диаграммы",Ссылки на дополнительные источники / официальную документацию; Более сложные тесты (варианты с собеседований),"Академический (развёрнутые лекции, строгие определения)",7,10,Слишком просто (прохожу с первого раза без усилий),Выбор нескольких ответов; «Что выведет код?»; Ввод ответа вручную,5,5,7,Внедрить систему наставничества / парного обучения,"Нет, лучше проходить последовательно",10,7,10,Пульсирующие кнопки (квесты/награды),8,Круто — заметно лучше,"Хорошая подача материала, визуальное оформление","Тесты, они слишком простые"
04.04.2026 20:10:29,19,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",7; 7; 10,5; 3; 7,6; 3; 8,5; 7; 9,10,7,10,"Зависит от сложности темы: если сложно — изучаю глубоко, если просто — бегло",Глубже разобрать edge-case'ы и подводные камни; Ссылки на дополнительные источники / официальную документацию; Более сложные тесты (варианты с собеседований),"Лаконичный и структурированный (как на сайте, без воды)",10,10,"Оптимально (есть над чем подумать, но нет фрустрации)",«Что выведет код?»; Восстановление кода (вставка пропусков); Расстановка фрагментов (drag-and-drop),10,8,10,Добавить персональные челленджи и цели на неделю,"Да, но только частично (открыть 50% контента)",10,9,9,"Ничего не отвлекает, всё продумано",10,Круто — заметно лучше,"оформление и вовлеченность, по средствам достижений и покупок ",улучшать можно только качество и объем информации
04.04.2026 20:11:49,20,ИТМО,Мужской,3 курс (Бакалавриат / Специалитет),"Да, изучал(а) ранее",7; 7; 8,6; 4; 7,5; 4; 6,7; 5; 7,7,8,10,"Зависит от сложности темы: если сложно — изучаю глубоко, если просто — бегло",Глубже разобрать edge-case'ы и подводные камни; Больше примеров «хорошо/плохо» с разбором; Связь теории с экзаменационными вопросами ВУЗа; Ссылки на дополнительные источники / официальную документацию,"Лаконичный и структурированный (как на сайте, без воды)",9,10,"Оптимально (есть над чем подумать, но нет фрустрации)",Выбор нескольких ответов; «Что выведет код?»; Ввод ответа вручную,7,7,7,Добавить персональные челленджи и цели на неделю,"Да, но только частично (открыть 50% контента)",10,9,9,"Невозможность открыть произвольную главу без прохождения предыдущих; Недооформленные элементы профиля (иконки, оглавление)",8,Круто — заметно лучше,"Очень хорошие оформление и структура, информации много, удобно изучать и повторять","Исправить ошибки
Дополнить информацию, как будто не так полно, потому что в ВУЗе проходят глубже и на экзамене спрашивают строже
Ссылки на cppreference.com были бы очень хороши, чтобы видеть документацию"
05.04.2026 0:58:20,19,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",7; 4; 8,3; 6; 9,3; 7; 8,4; 4; 8,9,10,8,"Читаю всё подряд: текст, примеры кода, комментарии, диаграммы",Глубже разобрать edge-case'ы и подводные камни; Больше примеров «хорошо/плохо» с разбором; Связь теории с экзаменационными вопросами ВУЗа; Ссылки на дополнительные источники / официальную документацию; Более сложные тесты (варианты с собеседований),"Академический (развёрнутые лекции, строгие определения)",7,9,"Оптимально (есть над чем подумать, но нет фрустрации)",Выбор нескольких ответов; «Что выведет код?»; Распределение по категориям; Ввод ответа вручную,8,7,9,"Усилить соревновательный элемент (лидерборды, сезонные рейтинги)","Да, но только частично (открыть 50% контента)",6,7,5,"Высокая контрастность / свечение элементов; Обводка полей ввода конфликтует с фоном; Недооформленные элементы профиля (иконки, оглавление)",8,Круто — заметно лучше,"Геймификация обучения, которая является отличительной особенностью данного проекта по сравнению с другими путями изучения языка C++, обладает, на мой взгляд, следующими преимуществами:
- повышает мотивацию посредством соревновательных элементов,
- поощряет регулярную практику, увеличивая вовлеченность,
- делает сложное проще, таким образом улучшая запоминание и установление связей нового и ранее изученного материала,
- даёт мгновенную обратную связь, что позволяет сразу обнаруживать и устранять пробелы в знаниях.

Несмотря на довольно лаконичную подачу, курс охватывает широкий круг тем и позволяет получить целостное представление о структуре языка.

Мне, как студенту 1 курса, который прямо сейчас проходит курс C++ в университете, очень понравилось, что автор сайта рассказывает не только о том, ""что есть в языке"", но и сопровождает материал примерами лучших практик использования тех или иных средств C++. Например, предпочтительнее использовать константы времени компиляции вместо макроопределений, или в современных стандартах следует предпочитать list-initialization другим способам инициализации объекта. Такой подход формирует правильное мышление разработчика и позволяет принимать обоснованные решения, располагая несколькими альтернативами решения той или иной задачи.

В целом, этот курс очень хорошо подходит тем, что хочет погрузиться в изучение языка C++. Как студенту, мне кажется очень полезным проходить квесты на этом сайте параллельно с университетским курсом. Знания, полученные в ходе продвижения по главам, очень помогают в выполнении лабораторных работ и их защитах, а также помогают успешно сдать экзамен. ","Мне кажется, что стоит разнообразить небольшие тесты, прилагаемые к каждой теме, средними по объёму и сложности практическими заданиями на написание кода. Они переводят знания в навык (дать возможность самим написать относительно большой кусок кода), развивают алгоритмическое мышление (разбить задачу на части, выбрать подход, продумать логику). Каждое практическое задание следует снабжать сравнительно большим количеством тестов. Это формирует у обучающегося чувство уверенности в собственных способностях и готовит его к выполнению более сложных проектов."
05.04.2026 11:21:17,18,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",7; 6; 9,6; 4; 9,4; 4; 9,9; 6; 9,10,9,9,"Читаю всё подряд: текст, примеры кода, комментарии, диаграммы",Более сложные тесты (варианты с собеседований),"Лаконичный и структурированный (как на сайте, без воды)",10,10,Слишком просто (прохожу с первого раза без усилий),Ввод ответа вручную,7,8,10,"Ничего не менять, текущий баланс хорош","Да, обязательно",10,7,10,"Ничего не отвлекает, всё продумано",10,Круто — заметно лучше,"Основное преимущество данного способа обучения в сравнении с «академическим», заключается в полноте, сейчас поясню. Приходя на лекции за 3 часа я получаю кучу инфы, из которой лишь малую часть буду использовать в грядущей лабораторной, и, соответсвенно, только это малую долю и запомню, например я вообще забыл про лист-инициализацию, поскольку банально не использовал ее или не знал, что при сравнении беззнакового и знакового типа твориться такой капец, именно по тому что нас то это говорили, но это не отложилось в моей голове тк не возникло такой проблемы при выполнении лабы. 
В случае с тестами после параграфа, автор(ты) явно указывает какая информация важно и ценна для запоминания, что помогает в «полноценном» понимании
Материал читается и усваивается легко, приятно разделен на логические блоки без  лишней воды, текст понятен и без особых знаний в языке
В завершении хочу отметить, что я был приятно удивлен визуалом сайта, выглядит откровенно круто, до этого ботал подобные курсы в Яндекс лицее, в качестве оформление я бы отдал свой голос твоему сайту","Тест, как по мне, выглядел очень простым, вернее скажу что я бы скорее ответил на большую часть «выборочных» ответов верно, даже ни разу не видев программу на плюсах. Возможно интересной фичей была бы возможность попытки прохождения итогового теста по главе, в случае успешного завершения открывался бы доступ к следующей главе без необходимости отвечать на все блоки, это было бы актуально для людей ранее уже изучавших язык."
05.04.2026 15:37:26,22,ИТМО,Мужской,1 курс (Магистратура),"Да, изучал(а) ранее",7; 8; 9,3; 7; 9,2; 7; 8,4; 7; 9,8,9,9,"Читаю всё подряд: текст, примеры кода, комментарии, диаграммы",Глубже разобрать edge-case'ы и подводные камни; Связь теории с экзаменационными вопросами ВУЗа; Более сложные тесты (варианты с собеседований),"Лаконичный и структурированный (как на сайте, без воды)",9,9,"Оптимально (есть над чем подумать, но нет фрустрации)",«Что выведет код?»; Восстановление кода (вставка пропусков); Расстановка фрагментов (drag-and-drop),8,10,8,Добавить персональные челленджи и цели на неделю,"Нет, лучше проходить последовательно",9,10,8,"Ничего не отвлекает, всё продумано",9,Круто — заметно лучше,"Краткость и лаконичность информации, а также разнообразие тестовых заданий",В некоторых параграфах слишком мало информации для прохождения теста
06.04.2026 0:02:46,18,ИТМО,Женский,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",5; 8; 10,4; 7; 8,3; 5; 8,7; 3; 8,7,8,7,Смотрю только примеры кода и комментарии к ним,Глубже разобрать edge-case'ы и подводные камни; Больше примеров «хорошо/плохо» с разбором; Связь теории с экзаменационными вопросами ВУЗа,"Лаконичный и структурированный (как на сайте, без воды)",8,8,"Оптимально (есть над чем подумать, но нет фрустрации)",«Что выведет код?»; Восстановление кода (вставка пропусков); Ввод ответа вручную,7,10,10,"Усилить соревновательный элемент (лидерборды, сезонные рейтинги)","Да, обязательно",8,8,7,Высокая контрастность / свечение элементов; Пульсирующие кнопки (квесты/награды); Невозможность открыть произвольную главу без прохождения предыдущих,10,Круто — заметно лучше,"В целом, очень понравился интерактивный формат","Для меня слишком ""активный"" дизайн, было бы классно иметь возможность в настройках поменять тему на более минималистичную"
06.04.2026 3:01:13,18,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",5; 10; 10,8; 5; 7,8; 5; 8,7; 5; 10,10,7,8,"Читаю всё подряд: текст, примеры кода, комментарии, диаграммы",Глубже разобрать edge-case'ы и подводные камни; Больше примеров «хорошо/плохо» с разбором; Ссылки на дополнительные источники / официальную документацию; Более сложные тесты (варианты с собеседований),"Лаконичный и структурированный (как на сайте, без воды)",9,10,"Оптимально (есть над чем подумать, но нет фрустрации)",«Что выведет код?»; Восстановление кода (вставка пропусков); Ввод ответа вручную,10,10,10,Добавить персональные челленджи и цели на неделю,"Да, обязательно",10,10,7,Невозможность открыть произвольную главу без прохождения предыдущих,8,Круто — заметно лучше,"визуальная составляющая, кроссплатформенность,текстовая подача материала с примерами(хотелось бы побольше)","Побольше практических заданий на написание кода, добавить возможность написания итогового теста по главе без промежуточных этапов для людей ранее изучавших язык"
07.04.2026 15:10:17,19,ЛЭТИ (СПбГЭТУ),Мужской,2 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",5; 7; 8,2; 3; 6,4; 7; 9,6; 9; 7,7,9,10,"Внимательно читаю текст и примеры, диаграммы просматриваю бегло",Глубже разобрать edge-case'ы и подводные камни; Связь теории с экзаменационными вопросами ВУЗа; Ссылки на дополнительные источники / официальную документацию; Более сложные тесты (варианты с собеседований),"Лаконичный и структурированный (как на сайте, без воды)",10,10,"Оптимально (есть над чем подумать, но нет фрустрации)",Восстановление кода (вставка пропусков); Ввод ответа вручную,8,10,4,"Усилить соревновательный элемент (лидерборды, сезонные рейтинги)","Да, обязательно",7,7,8,Высокая контрастность / свечение элементов; Обводка полей ввода конфликтует с фоном,9,Хорошо — немного лучше,Больше всего понравилось обилие теории и практики,"Мне кажется, нужен немного более минималистичный дизайн"
07.04.2026 15:11:15,19,ИТМО,Мужской,1 курс (Бакалавриат / Специалитет),"Да, изучаю сейчас",8; 7; 8,2; 4; 8,4; 4; 7,9; 2; 9,7,8,10,"Внимательно читаю текст и примеры, диаграммы просматриваю бегло",Глубже разобрать edge-case'ы и подводные камни; Более сложные тесты (варианты с собеседований),"Лаконичный и структурированный (как на сайте, без воды)",9,10,"Оптимально (есть над чем подумать, но нет фрустрации)",Восстановление кода (вставка пропусков); Расстановка фрагментов (drag-and-drop),2,4,8,Внедрить систему наставничества / парного обучения,"Да, обязательно",10,8,7,Избыточная анимация на главной; Обводка полей ввода конфликтует с фоном,9,Хорошо — немного лучше,Хороший дизайн и практика,Сделать более сложные задания